State_id  ,YEAR  ,Month  ,TMAX (F),TMEAN (F),TMIN (F) 
'042239',1887,1,.,.,. 
'042239',1887,2,.,.,. 
'042239',1887,3,.,.,. 
'042239',1887,4,.,.,. 
'042239',1887,5,.,.,. 
'042239',1887,6,.,.,. 
'042239',1887,7,.,.,. 
'042239',1887,8,.,.,. 
'042239',1887,9,.,.,. 
'042239',1887,10,.,.,. 
'042239',1887,11,.,.,. 
'042239',1887,12,.,.,. 
'042239',1888,1,.,.,. 
'042239',1888,2,.,.,. 
'042239',1888,3,.,.,. 
'042239',1888,4,.,.,. 
'042239',1888,5,.,.,. 
'042239',1888,6,.,.,. 
'042239',1888,7,.,.,. 
'042239',1888,8,.,.,. 
'042239',1888,9,.,.,. 
'042239',1888,10,.,.,. 
'042239',1888,11,.,.,. 
'042239',1888,12,.,.,. 
'042239',1889,1,.,.,. 
'042239',1889,2,.,.,. 
'042239',1889,3,.,.,. 
'042239',1889,4,.,.,. 
'042239',1889,5,.,.,. 
'042239',1889,6,.,.,. 
'042239',1889,7,.,.,. 
'042239',1889,8,.,.,. 
'042239',1889,9,.,.,. 
'042239',1889,10,.,.,. 
'042239',1889,11,.,.,. 
'042239',1889,12,.,.,. 
'042239',1890,1,.,.,. 
'042239',1890,2,.,.,. 
'042239',1890,3,.,.,. 
'042239',1890,4,.,.,. 
'042239',1890,5,.,.,. 
'042239',1890,6,.,.,. 
'042239',1890,7,.,.,. 
'042239',1890,8,.,.,. 
'042239',1890,9,.,.,. 
'042239',1890,10,.,.,. 
'042239',1890,11,.,.,. 
'042239',1890,12,.,.,. 
'042239',1891,1,.,.,. 
'042239',1891,2,.,.,. 
'042239',1891,3,.,.,. 
'042239',1891,4,.,.,. 
'042239',1891,5,.,.,. 
'042239',1891,6,.,.,. 
'042239',1891,7,.,.,. 
'042239',1891,8,.,.,. 
'042239',1891,9,.,.,. 
'042239',1891,10,.,.,. 
'042239',1891,11,.,.,. 
'042239',1891,12,.,.,. 
'042239',1892,1,.,.,. 
'042239',1892,2,.,.,. 
'042239',1892,3,.,.,. 
'042239',1892,4,.,.,. 
'042239',1892,5,.,.,. 
'042239',1892,6,.,.,. 
'042239',1892,7,.,.,. 
